Id,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions
5243,NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,X,12.4,9.2,11.0,26,259
7250,PORSCHE,911 Carrera S,MINICOMPACT,3.0,6,AM8,Z,13.1,9.7,11.5,25,271
3253,TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,AS6,X,11.6,9.2,10.5,27,241
1170,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209
5344,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.0,12.4,16.6,17,387
2268,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21.0,13.1,17.5,16,408
1097,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.0,7.8,9.6,29,221
5076,LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.3,13.3,21,310
1850,MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,269
457,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
3328,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.7,10.9,14.1,20,331
5370,TOYOTA,86,MINICOMPACT,2.0,4,M6,Z,11.3,8.3,9.9,29,232
3058,MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,AV6,X,9.2,7.5,8.4,34,193
4250,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.7,12.7,17.1,17,400
5386,TOYOTA,COROLLA iM,MID-SIZE,1.8,4,M6,X,8.8,6.8,7.9,36,185
4140,MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,6.0,47,141
2730,HYUNDAI,ELANTRA,MID-SIZE,2.0,4,M6,X,9.8,7.0,8.5,33,198
424,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.1,10.3,27,237
4930,JAGUAR,F-PACE 20d,SUV - SMALL,2.0,4,AS8,D,8.9,7.2,8.1,35,218
4535,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,8.0,10.0,28,234
4084,MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2.0,4,A9,Z,11.1,8.5,10.0,28,233
69,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314
5846,GMC,Sierra,PICKUP TRUCK - STANDARD,2.7,4,A8,X,11.9,10.3,11.1,25,261
3733,GENESIS,G90 AWD,FULL-SIZE,3.3,6,AS8,Z,13.7,9.7,11.9,24,279
7370,VOLKSWAGEN,Passat,MID-SIZE,2.0,4,AS6,X,10.2,6.9,8.7,32,205
1444,FIAT,500L,STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.1,8.3,34,191
2610,FORD,FOCUS,COMPACT,1.0,3,M6,X,7.8,5.7,6.8,42,160
1322,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.0,14.2,18.0,16,414
3372,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,375
275,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
4645,DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
3374,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,19.6,11.7,16.0,18,375
1089,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
7296,SUBARU,BRZ tS,MINICOMPACT,2.0,4,M6,Z,11.6,8.6,10.2,28,239
6035,KIA,Sorento AWD,SUV - SMALL,2.4,4,AS6,X,11.2,9.0,10.2,28,242
937,SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9.0,31,207
505,HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,M6,X,9.8,7.0,8.5,33,196
7004,JEEP,Cherokee 4X4 Active Drive I,SUV - SMALL,2.0,4,A9,X,11.2,8.0,9.8,29,229
4067,MERCEDES-BENZ,AMG SLC 43,TWO-SEATER,3.0,6,A9,Z,11.6,8.2,10.1,28,234
2158,VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4,M6,Z,9.4,6.9,8.3,34,191
720,MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186
3635,FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,X,11.9,8.6,10.4,27,244
4365,VOLVO,XC60 T5,SUV - SMALL,2.0,4,AS8,X,10.4,7.8,9.2,31,216
3316,ACURA,MDX HYBRID AWD,SUV - SMALL,3.0,6,AM7,Z,9.1,9.0,9.0,31,210
4136,MITSUBISHI,LANCER,COMPACT,2.4,4,M5,X,10.5,7.8,9.3,30,218
7196,MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,A9,Z,13.5,9.3,11.6,24,270
6604,BMW,M4 Coupe Competition,COMPACT,3.0,6,M6,Z,13.4,9.6,11.7,24,273
5183,MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.4,6.3,7.4,38,174
714,MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,8.7,6.5,7.7,37,177
5748,FORD,Explorer AWD,SUV - STANDARD,2.3,4,AS6,X,13.1,9.2,11.4,25,267
667,LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4,27,239
6954,HYUNDAI,Palisade,SUV - STANDARD,3.8,6,AS8,X,11.9,8.8,10.5,27,250
4958,JEEP,CHEROKEE,SUV - SMALL,3.2,6,A9,X,11.4,8.3,10.0,28,234
5088,MAZDA,CX-3,COMPACT,2.0,4,M6,X,9.0,7.0,8.1,35,189
6349,PORSCHE,Boxster GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27,249
4440,BMW,230i COUPE,SUBCOMPACT,2.0,4,AS8,Z,9.8,6.8,8.4,34,197
7038,KIA,Forte,MID-SIZE,2.0,4,M6,X,8.6,6.4,7.6,37,180
1905,MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
2592,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,13.1,10.1,11.7,24,275
6838,FORD,Transit Connect Van FFV,SPECIAL PURPOSE VEHICLE,2.0,4,AS8,E,13.3,11.8,12.6,22,209
2657,GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4,A6,D,10.8,7.7,9.4,30,252
5633,CHEVROLET,Cruze,COMPACT,1.4,4,AS6,X,8.3,6.2,7.3,39,172
5694,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
2225,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.6,8.9,32,212
6595,BMW,M240i xDrive Coupe M Performance,SUBCOMPACT,3.0,6,AS8,Z,11.4,8.3,10.0,28,233
159,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
1470,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.7,14.3,17.9,16,286
4420,AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,17.0,9.6,13.7,21,318
5166,MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,15.2,11.4,13.5,21,317
4790,FORD,SHELBY GT350 MUSTANG,SUBCOMPACT,5.2,8,M6,Z,17.2,11.3,14.6,19,341
6044,KIA,Stinger AWD,MID-SIZE,3.3,6,AS8,Z,13.6,9.6,11.8,24,279
112,BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356
4983,JEEP,RENEGADE,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,222
5097,MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,8.4,6.4,7.5,38,176
6969,HYUNDAI,Venue,MID-SIZE,1.6,4,AV,X,8.0,7.0,7.5,38,178
1178,BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207
3551,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,AS6,X,8.8,6.6,7.8,36,184
4572,CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4,M6,D,7.8,4.6,6.3,45,170
3125,PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6,AM7,Z,12.8,9.3,11.2,25,260
3104,PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,M7,Z,13.4,9.3,11.6,24,272
5373,TOYOTA,CAMRY LE/SE,MID-SIZE,2.5,4,AS8,X,8.4,6.0,7.3,39,172
7141,MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.7,7.8,8.8,32,206
5382,TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,8.5,6.6,7.6,37,178
6013,JEEP,Renegade 4X4,SUV - SMALL,1.3,4,A9,X,10.1,8.1,9.2,31,216
5201,MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4,M6,Z,10.3,7.4,9.0,31,210
2716,HONDA,HR-V,SUV - SMALL,1.8,4,AV,X,8.3,6.7,7.6,37,177
434,GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
34,AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
5596,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,13.3,9.2,11.5,25,269
6239,MINI,Cooper S Clubman ALL4,MID-SIZE,2.0,4,AS8,Z,10.4,7.6,9.2,31,214
6404,SUBARU,Crosstrek AWD,SUV - SMALL,2.0,4,AV7,X,8.8,7.2,8.1,35,188
4596,CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.4,10.0,11.8,24,278
993,TOYOTA,PRIUS c,COMPACT,1.5,4,AV,X,4.6,4.9,4.7,60,108
3825,HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,AS6,X,12.9,9.4,11.3,25,265
1543,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.2,14.3,17.5,16,280
3048,MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.4,7.6,8.6,33,201
2030,PORSCHE,MACAN TURBO,SUV - SMALL,3.6,6,A7,Z,14.2,10.1,12.3,23,283
1266,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.4,7.9,9.8,29,225
2851,KIA,RIO,COMPACT,1.6,4,AS6,X,8.7,6.3,7.7,37,178
982,TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,7.8,5.9,6.9,41,159
1461,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.6,13.0,16.1,18,258
5647,CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,8.2,6.6,7.5,38,174
148,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
6968,HYUNDAI,Veloster N,COMPACT,2.0,4,M6,X,10.6,8.3,9.5,30,226
4238,RAM,1500,PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.0,12.0,14.8,19,346
4544,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,9.0,11.6,24,272
3030,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,M6,Z,8.2,6.0,7.2,39,170
7110,LEXUS,UX 200,MID-SIZE,2.0,4,AS10,X,8.0,6.3,7.2,39,168
6321,PORSCHE,911 Carrera 4 Cabriolet,MINICOMPACT,3.0,6,M7,Z,12.2,8.5,10.5,27,246
3928,KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.1,8.0,9.2,31,216
3606,DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
7303,SUBARU,Impreza 5-Door AWD,STATION WAGON - SMALL,2.0,4,M5,X,10.1,7.7,9.0,31,211
1817,MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,8.2,5.9,7.1,40,163
4355,VOLVO,S90 T5,MID-SIZE,2.0,4,AS8,Z,10.1,7.0,8.7,32,204
3151,PORSCHE,MACAN S,SUV - SMALL,3.0,6,A7,Z,13.7,10.3,12.2,23,285
1512,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.2,8.2,10.4,27,239
6754,DODGE,Challenger AWD,MID-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
2399,CHEVROLET,CAMARO,COMPACT,2.0,4,M6,Z,11.4,7.9,9.8,29,229
3008,MERCEDES-BENZ,GLE 350d 4MATIC COUPE,SUV - STANDARD,3.0,6,A9,D,10.4,8.2,9.4,30,253
6656,CADILLAC,CT4-V,COMPACT,2.7,4,AS10,Z,11.5,8.2,10.0,28,234
5381,TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,8.3,6.7,7.5,38,178
4442,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.2,7.2,8.9,32,208
1704,KIA,FORTE,MID-SIZE,1.8,4,AS6,X,8.8,6.1,7.6,37,175
6440,TOYOTA,Highlander AWD LE,SUV - STANDARD,3.5,6,AS8,X,11.7,8.8,10.4,27,242
6240,MINI,Cooper S Clubman ALL4,MID-SIZE,2.0,4,M6,Z,11.4,7.7,9.7,29,227
6692,CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15.0,13.0,14.1,20,331
4890,HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.3,6.2,7.4,38,173
6256,MITSUBISHI,Mirage G4,COMPACT,1.2,3,AV,X,6.9,5.7,6.4,44,148
5737,FORD,EcoSport AWD,SUV - SMALL,2.0,4,AS6,X,10.2,8.0,9.3,30,218
3295,VOLVO,S60 POLESTAR,COMPACT,3.0,6,AS6,X,13.0,9.0,11.2,25,259
3911,JEEP,RENEGADE,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,209
5684,CHEVROLET,Traverse,SUV - STANDARD,3.6,6,A9,X,13.0,8.8,11.1,25,261
4068,MERCEDES-BENZ,B 250,MID-SIZE,2.0,4,AS7,Z,9.7,6.6,8.3,34,179
2283,BMW,340i,COMPACT,3.0,6,M6,Z,11.6,7.8,9.9,29,231
1572,HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.6,6.6,7.7,37,177
1559,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,306
4038,MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,9.0,6.7,8.0,35,187
43,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304
5554,BMW,M4 CS,COMPACT,3.0,6,AM7,Z,14.3,10.4,12.6,22,294
6646,BUICK,Encore GX AWD,SUV - SMALL,1.3,3,A9,X,9.0,8.0,8.5,33,199
1560,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
5281,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.0,6,M7,Z,12.1,8.4,10.4,27,243
5808,FORD,Mustang Convertible,SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,241
408,FORD,FOCUS SFE FFV,COMPACT,2.0,4,A6,E,11.6,8.3,10.1,28,162
1913,MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
188,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
1923,MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200
1794,LINCOLN,MKZ AWD,MID-SIZE,3.7,6,AS6,X,13.1,9.2,11.3,25,260
3436,BMW,M760i xDRIVE,FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
2637,FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,11.8,8.1,10.1,28,237
1609,HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145
3310,VOLVO,XC90 T5,SUV - STANDARD,2.0,4,AS8,Z,10.6,9.1,10.0,28,232
7262,PORSCHE,Panamera 4 ST,FULL-SIZE,3.0,6,AM8,Z,12.2,8.9,10.7,26,250
2330,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
6804,FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,19.9,15.8,18.0,16,300
6005,JEEP,Compass 4X4,SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,221
1290,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.0,8.4,11.5,25,265
1534,GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.6,20.6,26.1,11,418
1347,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.7,8.3,34,191
5638,CHEVROLET,Cruze Hatchback Diesel,MID-SIZE,1.6,4,A9,D,7.8,5.2,6.6,43,178
2547,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,183
568,JAGUAR,XKR-S COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,10.9,13.5,21,310
4621,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
1139,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,13.3,9.1,11.4,25,262
4533,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,13.0,8.9,11.1,25,261
1605,HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,287
4035,MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8.0,35,187
6405,SUBARU,Crosstrek AWD,SUV - SMALL,2.0,4,M6,X,10.5,8.1,9.4,30,220
6949,HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.2,4.2,4.2,67,99
859,NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7.2,8.3,34,191
904,PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225
2480,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
5105,MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,9.0,6.7,7.8,36,187
1593,HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,AS6,X,9.7,7.2,8.6,33,198
1298,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.8,10.5,27,242
2102,TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,8.6,6.5,7.6,37,175
7382,VOLVO,XC60 T6 AWD,SUV - SMALL,2.0,4,AS8,Z,11.7,8.6,10.3,27,240
530,INFINITI,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265
3882,JEEP,CHEROKEE,SUV - SMALL,2.4,4,A9,X,11.0,7.8,9.6,29,225
2843,KIA,FORTE KOUP,COMPACT,2.0,4,M6,X,10.0,7.4,8.8,32,206
6704,CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.1,11.5,13.5,21,318
7053,KIA,Sportage,SUV - SMALL,2.4,4,AS6,X,10.1,7.6,9.0,31,214
1494,FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.4,6.3,8.0,35,184
973,TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,X,9.5,6.6,8.2,34,189
4546,CHEVROLET,CAMARO,SUBCOMPACT,2.0,4,AS8,Z,10.8,7.6,9.4,30,220
1417,DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202
2228,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.2,8.4,9.9,29,232
2607,FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22,303
6399,ROLLS-ROYCE,Phantom EWB,FULL-SIZE,6.7,12,AS8,Z,20.0,11.8,16.3,17,382
1845,MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6,AS7,Z,12.0,8.5,10.4,27,239
3283,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,M6,Z,13.0,9.0,11.2,25,259
213,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
1382,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
3837,HYUNDAI,TUCSON,SUV - SMALL,2.0,4,AS6,X,10.1,7.8,9.0,31,213
5056,LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.2,7.9,7.5,38,176
6499,VOLVO,XC60 T5 AWD,SUV - SMALL,2.0,4,AS8,Z,11.3,8.5,10.0,28,233
305,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
4257,SUBARU,BRZ,MINICOMPACT,2.0,4,M6,Z,11.1,8.0,9.7,29,228
6882,GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.1,11.4,13.4,21,314
6719,CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,5.3,8,A10,X,14.3,10.6,12.6,22,296
4688,FIAT,500X,SUV - SMALL,2.4,4,A9,X,10.7,7.8,9.4,30,220
3707,FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,M6,X,11.2,8.4,9.8,29,230
6051,LAMBORGHINI,Huracan Performante Coupe,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18,370
2782,JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6,M6,Z,15.3,9.9,12.9,22,302
5074,LINCOLN,MKZ AWD,MID-SIZE,3.0,6,AS6,X,14.0,9.2,11.8,24,278
6451,TOYOTA,Tacoma,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.1,10.1,11.2,25,263
2457,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.0,6.8,8.0,35,188
3639,FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,X,10.6,8.0,9.5,30,222
49,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
7275,RAM,1500 eTorque,PICKUP TRUCK - STANDARD,5.7,8,A8,X,14.1,10.3,12.4,23,290
31,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
6431,TOYOTA,Corolla,MID-SIZE,1.8,4,AV,X,8.3,6.5,7.5,38,174
2230,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,214
1759,LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,136
750,MERCEDES-BENZ,E 400 HYBRID,MID-SIZE,3.5,6,AS7,Z,9.6,7.9,8.8,32,202
1491,FORD,FOCUS FFV,COMPACT,2.0,4,M5,X,9.3,6.7,8.1,35,186
576,JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6,A9,X,13.4,9.5,11.6,24,267
4057,MERCEDES-BENZ,AMG GT COUPE,TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303
2041,RAM,1500,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274
5238,NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.0,8.3,9.8,29,230
3780,GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,312
2031,PORSCHE,PANAMERA,FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,251
3494,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.8,9.0,9.4,30,220
5221,NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,269
1203,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
4318,TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.1,13.9,16.2,17,378
1166,BMW,328i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193
5378,TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV6,X,5.3,5.0,5.1,55,121
7219,MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.3,8.3,9.4,30,218
4149,MITSUBISHI,RVR 4WD,SUV - SMALL,2.0,4,AV6,X,10.1,8.2,9.2,31,213
552,JAGUAR,XFR,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.3,21,306
5685,CHEVROLET,Traverse AWD,SUV - STANDARD,3.6,6,A9,X,13.7,9.5,11.8,24,277
7351,TOYOTA,Tacoma,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.1,10.1,11.2,25,263
3651,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.4,10.5,12.6,22,296
6362,PORSCHE,Macan,SUV - SMALL,2.0,4,AM7,Z,12.2,10.2,11.3,25,264
5571,BMW,X6 xDrive50i,SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294
1371,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,9.7,7.6,8.7,32,200
7059,LAMBORGHINI,Aventador Roadster,TWO-SEATER,6.5,12,AM7,Z,26.6,15.8,21.7,13,493
1993,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,AM7,Z,12.2,8.9,10.7,26,246
3276,VOLKSWAGEN,JETTA,COMPACT,2.0,4,AM6,X,9.8,7.0,8.6,33,201
7252,PORSCHE,911 Carrera 4S,MINICOMPACT,3.0,6,AM8,Z,13.1,10.2,11.8,24,277
3432,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.2,11.6,14.7,19,343
106,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
4496,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,10.7,7.5,9.3,30,217
1468,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,E,17.9,13.0,15.7,18,251
678,LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.8,11.7,24,269
510,HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,A6,X,11.6,8.7,10.3,27,237
1292,CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
5744,FORD,Escape AWD,SUV - SMALL,1.5,4,AS6,X,11.2,8.4,9.9,29,232
373,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4,11.0,13.4,21,308
